"user_id","fecha","hora","mensaje_usuario","respuesta_numa","mood"
"09792f81-3d44-49c7-8ef8-75b68b803c9b","2026-03-11","14:10","El personaje se parece mucho a mi","¿Te identificás con sus decisiones o más con sus sentimientos?","sin_mood"
"09792f81-3d44-49c7-8ef8-75b68b803c9b","2026-03-13","20:49","Me estresó mucho pensando en futuro y no vivo el presente pero es porque me parece aburrido entonces pienso en actividades para hacer","Entiendo que te sientes así, Diego. A veces el presente puede parecer aburrido si no estamos haciendo algo que nos apasione. ¿Qué tipo de actividades te gustaría hacer para hacer que el presente sea más interesante?","sin_mood"
"09792f81-3d44-49c7-8ef8-75b68b803c9b","2026-03-13","20:49","Claro","¿Te parece que podrías encontrar algo que te guste hacer en el presente, algo que te haga sentir que estás aprovechando el tiempo de manera positiva?","sin_mood"
"09792f81-3d44-49c7-8ef8-75b68b803c9b","2026-03-13","21:16","Siento que no puedo disfrutar el presente","¿Qué crees que te impide disfrutar el presente, Diego? ¿Es algo específico que te preocupa o te desconecta del momento?","sin_mood"
"09792f81-3d44-49c7-8ef8-75b68b803c9b","2026-03-13","21:17","Claro, pienso en algo que me desconecte del momento, por más que el momento sea bueno en mí mente imagino algo más interesante","Entiendo, parece que tienes una mente muy activa y siempre estás pensando en algo más. ¿Te has dado cuenta de que esto te pasa con frecuencia, incluso cuando estás en situaciones agradables?","sin_mood"
"09792f81-3d44-49c7-8ef8-75b68b803c9b","2026-03-13","21:17","Si","A veces, cuando estamos pensando en algo más, podemos perder el momento presente. La respiración box te puede ayudar a calmarte y enfocarte en el ahora.","sin_mood"
"0b4c4c1e-85fc-476f-b125-44be6a467fad","2026-06-27","15:03","estoy complicado mental que puedo hacer","¿Complicado con qué, más o menos?","stressed"
"0b4c4c1e-85fc-476f-b125-44be6a467fad","2026-06-27","15:04","con los estudios no parto de perder tiempo y la ansiedad me esta consumiendo no consigo concentrarme","""Trabajas sin parar, y la ansiedad te roba el aire para concentrarte."" Eso pesa, y más cuando parece que no hay escape. Acá ando, si querés contarme más o simplemente desahogarte.","neutral"
"121168c8-ceec-4455-af3b-9fca1fadd5db","2026-06-09","13:18","Hasta el jueves","Hasta el jueves no es tanto, pero seguro que se hace largo sin él. ¿Qué vas a hacer mientras tanto para entretenerte?","neutral"
"121168c8-ceec-4455-af3b-9fca1fadd5db","2026-06-09","13:19","Me aburro porque no hago nada durante el día, no trabajo y sin él es peor","Entiendo, es como si te faltara algo de estructura en tu día y sin tu marido se nota más. ¿Alguna vez pensaste en hacer algo que te guste durante el día, como un hobby o un curso, para que te mantenga entretenida y te dé algo de sentido?","neutral"
